Geneid	Chr	Start	End	Strand	Length	Name	Gene	Note	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/A6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/B12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C9.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C10.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C11.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/C12.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D1.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D2.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D3.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D4.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D5.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D6.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D7.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D8.bam	/vol_c/Kontxi_RNAseq/align_candida/bamfiles/D9.bam
C2_07870C_A	Ca22chr2A_C_albicans_SC5314	1601234	1601776	-	543	C2_07870C_A	NA	%28orf19.2195%29%20Ortholog%20of%20Candida%20albicans%20WO-1%20%3A%20CAWG_05881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2_07880W_A	Ca22chr2A_C_albicans_SC5314	1602503	1603915	+	1413	C2_07880W_A	APM4	%28orf19.2194%29%20Cargo-binding%20subunit%20of%20the%20clathrin%20associated%20protein%20complex%20%28AP-2%29%2C%20involved%20in%20endocytosis	0	0	0	382	336	373	449	511	531	317	326	342	464	442	485	0	0	373	287	317	292	462	442	488	360	391	381	473	467	454	0	0	0	435	451	354	476	841	522	413	396	445	524	453	514
C2_07890W_A	Ca22chr2A_C_albicans_SC5314	1604218	1605558	+	1341	C2_07890W_A	PRS5	%28orf19.2193%29%20Putative%205-phospho-ribosyl-1%28alpha%29-pyrophosphate%20synthetase%3B%20Hap43-induced%3B%20repressed%20during%20core%20stress%20response	0	0	0	2659	2537	2210	2059	2229	1964	2255	1997	2192	1980	2069	1901	0	0	2210	2454	2691	2652	2559	2844	2494	2325	2203	2370	2268	2128	2178	0	0	0	2618	2698	2431	2300	4134	2584	3043	2650	2903	2555	2566	2425
C2_07900W_A	Ca22chr2A_C_albicans_SC5314	1608279	1611449	+	3171	C2_07900W_A	GDH2	%28orf19.2192%29%20Putative%20NAD-specific%20glutamate%20dehydrogenase%3B%20fungal-specific%3B%20transcript%20regulated%20by%20Nrg1%2C%20Mig1%2C%20Tup1%2C%20and%20Gcn4%3B%20stationary%20phase%20enriched%20protein%3B%20flow%20model%20biofilm%20induced%3B%20Spider%20biofilm%20induced	0	1	0	2954	2692	2946	8154	9591	9215	2424	2185	2300	4782	5227	4671	3	0	2946	34291	34683	36469	19483	20280	15855	26170	19907	25808	11058	10306	10202	0	0	1	38003	42468	27822	31478	53052	37898	48450	43662	52501	47249	44469	42233
C2_07910C_A	Ca22chr2A_C_albicans_SC5314	1611757	1611933	-	177	C2_07910C_A	NA	%28orf19.2191.1%29%20Ortholog%20of%20C.%20dubliniensis%20CD36%20%3A%20Cd36_11730%2C%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_104195%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20CANTEDRAFT_109454%20and%20Debaryomyces%20hansenii%20CBS767%20%3A%20DEHA2C10076g	0	0	0	354	300	255	157	158	172	370	387	408	215	205	179	0	0	255	65	66	55	131	125	102	66	81	59	198	161	195	0	0	0	124	107	163	181	298	185	69	101	81	98	102	116
C2_07920W_A	Ca22chr2A_C_albicans_SC5314	1612098	1613135	+	1038	C2_07920W_A	NA	%28orf19.2191%29%20Ortholog%28s%29%20have%20diphthine%20methylesterase%20activity%2C%20role%20in%20endocytic%20recycling%2C%20peptidyl-diphthamide%20biosynthetic%20process%20from%20peptidyl-histidine%20and%20endosome%20localization	0	0	0	777	780	687	487	476	464	694	596	663	509	526	460	0	0	687	460	498	473	586	617	546	489	417	397	546	589	530	0	0	0	390	427	356	563	980	680	470	465	543	568	578	534
C2_07930C_A	Ca22chr2A_C_albicans_SC5314	1613187	1615181	-	1995	C2_07930C_A	VRP1	%28orf19.2190%29%20Verprolin-related%20protein%20involved%20in%20actin%20cytoskeleton%20organization%20and%20polarized%20morphogenesis%3B%20interacts%20with%20Wal1p%20and%20Myo5p%3B%20downregulated%20upon%20adherence%20to%20polystyrene	0	0	0	399	415	386	391	495	386	332	251	288	374	411	465	0	0	386	360	479	372	447	581	508	437	422	474	425	447	368	0	0	0	322	279	296	421	761	443	363	341	381	389	467	443
C2_07940C_A	Ca22chr2A_C_albicans_SC5314	1615386	1616870	-	1485	C2_07940C_A	ALG7	%28orf19.2187%29%20Protein%20involved%20in%20cell%20wall%20mannan%20biosynthesis%3B%20mutation%20confers%20hypersensitivity%20to%20tunicamycin%3B%20transcript%20elevated%20in%20chk1%2C%20nik1%2C%20and%20sln1%20homozygous%20null%20mutants%3B%20possibly%20essential%20gene%2C%20disruptants%20not%20obtained%20by%20UAU1%20method	0	0	0	1171	1191	1136	1308	1436	1366	1132	1006	1116	1418	1511	1305	0	0	1136	581	665	627	1046	1119	1225	648	749	692	1067	1085	1066	0	0	0	610	608	617	806	1382	863	502	490	616	641	665	603
C2_07950W_A	Ca22chr2A_C_albicans_SC5314	1617396	1618439	+	1044	C2_07950W_A	SEH1	%28orf19.2186%29%20Ortholog%28s%29%20have%20role%20in%20positive%20regulation%20of%20TORC1%20signaling%20and%20Seh1-associated%20complex%2C%20extrinsic%20component%20of%20fungal-type%20vacuolar%20membrane%2C%20nuclear%20periphery%2C%20nuclear%20pore%20outer%20ring%20localization	0	0	0	707	714	635	748	940	904	695	596	608	858	894	910	0	0	635	762	804	817	724	898	772	1093	982	1034	935	816	767	0	0	0	873	788	788	821	1378	877	1039	911	948	827	870	868
C2_07960C_A	Ca22chr2A_C_albicans_SC5314	1618432	1619652	-	1221	C2_07960C_A	NSA1	%28orf19.2185%29%20Putative%2066S%20pre-ribosomal%20particles%20conmponent%3B%20Hap43-induced%3B%20repressed%20by%20prostaglandins	0	0	0	2070	1954	1615	1285	1308	1228	2150	1707	1971	1632	1554	1502	0	0	1615	1420	1294	1526	1712	1848	1686	1157	1453	1125	1594	1568	1594	0	0	0	1292	1289	1341	1856	3050	2031	1490	1161	1426	1626	1525	1508
C2_07970W_A	Ca22chr2A_C_albicans_SC5314	1620166	1620252	+	87	C2_07970W_A	tI%28AAU%292	%28tI%28AAU%292%29%20tRNA-Ile%2C%20predicted%20by%20tRNAscan-SE%3B%20AAU%20anticodon	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C2_07980W_A	Ca22chr2A_C_albicans_SC5314	1620414	1621292	+	879	C2_07980W_A	NA	%28orf19.2184%29%20Putative%20fumarylacetoacetate%20hydrolase%3B%20clade-associated%20gene%20expression%3B%20rat%20catheter%20and%20Spider%20biofilm%20repressed	0	0	0	446	413	359	337	369	397	409	296	367	397	427	414	0	0	359	162	182	148	391	385	385	231	175	215	382	383	371	0	0	0	231	192	244	300	536	412	136	155	162	250	232	256
C2_07990W_A	Ca22chr2A_C_albicans_SC5314	1621504	1621576	+	73	C2_07990W_A	tA%28AGC%291	%28tA%28AGC%291%29%20tRNA-Ala%2C%20predicted%20by%20tRNAscan-SE%3B%20AGC%20anticodon	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	1	0	0	1	2	0	2	1	2	0	0	0	0	0	1	1	0	0	1	3	1	0	0	0	1
C2_08000C_A	Ca22chr2A_C_albicans_SC5314	1621750	1623579	-	1830	C2_08000C_A	KRE30	%28orf19.2183%29%20YEF3-subfamily%20ABC%20family%20protein%3B%20predicted%20not%20to%20be%20a%20transporter%3B%20repressed%20in%20core%20stress%20response%3B%20mutation%20confers%20hypersensitivity%20to%20amphotericin%20B	0	0	0	7075	6446	5796	4852	5229	4548	6522	5605	6306	5152	5028	4299	0	0	5796	4960	5305	5090	6619	6985	7678	4062	4622	4061	5646	5558	5813	0	0	0	4886	5133	4763	5548	9805	6494	4717	4132	4717	5424	5204	4978
C2_08010W_A	Ca22chr2A_C_albicans_SC5314	1624653	1631255	+	6603	C2_08010W_A	BLM3	%28orf19.2182%29%20Putative%20proteasome%20activator%3B%20binds%20core%20proteasome%20and%20stimulates%20proteasome-mediated%20protein%20degradation%20by%20inducing%20gate%20opening%3B%20ortholog%20of%20S.%20cerevisiae%20Blm10%3B%20transcript%20regulated%20by%20Nrg1%20and%20Mig1	0	0	0	1473	1312	1280	1167	1186	1065	1251	1127	1207	1112	1235	1130	0	0	1280	850	945	943	1289	1275	1320	1052	1026	1059	1324	1251	1319	0	0	0	1130	959	1125	1213	2120	1379	750	832	898	1074	1028	1020
C2_08020C_A	Ca22chr2A_C_albicans_SC5314	1631507	1632622	-	1116	C2_08020C_A	NA	%28orf19.2180%29%20Ortholog%28s%29%20have%20calcium%20ion%20binding%2C%20zinc%20ion%20binding%20activity%2C%20role%20in%20axial%20cellular%20bud%20site%20selection%2C%20bipolar%20cellular%20bud%20site%20selection%2C%20regulation%20of%20COPII%20vesicle%20coating%20and%20cellular%20bud%20neck%2C%20cytosol%20localization	0	0	0	395	451	392	427	480	466	348	324	406	394	394	355	0	0	392	747	680	745	666	633	509	810	688	684	557	474	516	0	0	0	576	646	656	502	733	492	616	685	611	562	500	455
C2_08030W_A	Ca22chr2A_C_albicans_SC5314	1632157	1632687	+	531	C2_08030W_A	NA	%28orf19.2181%29%20Ortholog%20of%20Spathaspora%20passalidarum%20NRRL%20Y-27907%20%3A%20spas_CGOB_00067%20and%20Candida%20albicans%20WO-1%20%3A%20CAWG_05895	0	0	0	13	11	10	13	11	11	9	14	18	9	10	11	0	0	10	26	21	19	8	13	14	15	27	11	15	8	17	0	0	0	15	13	13	15	20	7	9	23	9	12	12	15
C2_08040C_A	Ca22chr2A_C_albicans_SC5314	1633293	1633968	-	676	C2_08040C_A	RPS10	%28orf19.2179.2%29%20Ribosomal%20protein%20S10%3B%20downregulated%20in%20the%20presence%20of%20human%20whole%20blood%20or%20PMNs%3B%20Spider%20biofilm%20repressed	0	0	0	14116	13287	12016	10271	10993	11549	15749	13798	15914	11264	11352	10131	0	0	12016	8342	8924	9292	12797	13252	12598	7738	8827	7405	11845	11707	12376	0	0	1	7881	7435	7874	10333	17722	11050	5526	5846	6216	9558	8611	9436
C2_08050C_A	Ca22chr2A_C_albicans_SC5314	1634398	1636212	-	1815	C2_08050C_A	SIT1	%28orf19.2179%29%20Transporter%20of%20ferrichrome%20siderophores%2C%20not%20ferrioxamine%20B%3B%20required%20for%20human%20epithelial%20cell%20invasion%20in%20vitro%2C%20not%20for%20mouse%20systemic%20infection%3B%20regulated%20by%20iron%2C%20Sfu1%2C%20Rfg1%2C%20Tup1%2C%20Hap43%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced	0	0	0	7248	6681	5775	2432	2378	1881	3513	2767	3013	2081	2174	1814	0	0	5775	5633	5970	5501	1834	1858	2082	3311	3831	3283	2085	2247	2137	0	0	0	5873	7561	3803	10665	21389	13225	16272	13267	14873	10242	9767	10422
C2_08055W_A	Ca22chr2A_C_albicans_SC5314	1637752	1638088	+	337	C2_08055W_A	RPR1	%28RPR1%29%20Putative%20ortholog%20of%20S.%20cerevisiae%20RNAse%20P%20RNA%3B%20gene%20transcribed%20by%20RNA%20Pol%20III	0	0	0	33	48	24	40	31	31	26	9	16	13	17	23	0	0	24	126	133	133	28	47	23	142	152	139	43	41	31	0	0	0	142	124	138	19	43	18	129	160	130	33	30	25
C2_08060W_A	Ca22chr2A_C_albicans_SC5314	1638309	1638518	+	210	C2_08060W_A	NA	%28orf19.2178.1%29%20Protein%20of%20unknown%20function%3B%20Spider%20biofilm%20induced	0	0	0	142	132	125	176	203	225	99	98	117	189	199	151	0	0	125	221	268	229	199	264	172	236	218	217	216	167	211	0	0	0	188	163	163	214	456	253	279	298	288	272	224	302
C2_08070C_A	Ca22chr2A_C_albicans_SC5314	1638718	1639695	-	978	C2_08070C_A	MRS4	%28orf19.2178%29%20Mitochondrial%20carrier%20family%20member%2C%20involved%20in%20iron%20homeostasis%3B%20putative%20membrane%20transporter%20localized%20to%20the%20mitochondrial%20membrane%3B%20transcription%20under%20control%20of%20Atf2p%3B%20regulated%20by%20Sef1p%2C%20Sfu1p%2C%20and%20Hap43p	0	0	0	1609	1495	1372	973	1147	1034	1157	986	1156	957	1091	997	0	0	1372	939	1111	1030	1212	1426	1422	852	844	862	1024	1043	1051	0	0	0	823	793	741	1194	2304	1424	823	739	813	1009	865	926
C2_08080C_A	Ca22chr2A_C_albicans_SC5314	1640824	1641633	-	810	C2_08080C_A	IFM3	%28orf19.2176%29%20Protein%20with%20a%202-hydroxyacid%20dehydrogenase%20catalytic%20domain%3B%20Hap43-repressed%3B%20Plc1-regulated%3B%20overlaps%20orf19.2177	0	0	0	242	255	204	214	248	252	212	167	217	221	193	196	0	0	204	339	413	455	370	374	379	534	403	451	318	262	252	0	0	0	458	500	527	417	665	501	499	593	500	427	421	465
C2_08090W_A	Ca22chr2A_C_albicans_SC5314	1641292	1641828	+	537	C2_08090W_A	NA	%28orf19.2177%29%20Sef1p-%2C%20Sfu1p-%2C%20and%20Hap43p-regulated%20gene%3B%20overlaps%20IFM3%2Forf19.2176	0	0	0	53	57	50	37	47	28	44	31	39	21	36	42	0	0	50	77	77	61	63	50	60	93	101	83	56	50	35	0	0	0	87	84	63	81	123	68	95	114	66	70	108	47
C2_08100W_A	Ca22chr2A_C_albicans_SC5314	1642751	1643854	+	1104	C2_08100W_A	NA	%28orf19.2175%29%20Mitochondrial%20apoptosis-inducing%20factor%3B%20induced%20by%20nitric%20oxide%3B%20Spider%20biofilm%20induced%3B%20rat%20catheter%20biofilm%20repressed	0	0	0	989	892	777	772	880	826	910	848	900	833	884	794	0	0	777	935	1028	980	1271	1320	1177	1169	1142	1149	1120	978	966	0	0	0	3759	3806	4402	3125	5342	3470	2942	4008	2937	2547	2463	2444
C2_08110W_A	Ca22chr2A_C_albicans_SC5314	1644085	1645620	+	1536	C2_08110W_A	RAD57	%28orf19.2174%29%20Putative%20DNA%20recombination%20and%20repair%20protein%3B%20induced%20by%20interaction%20with%20macrophage%3B%20transcript%20is%20regulated%20by%20Nrg1%2C%20Mig1%2C%20and%20Tup1%3B%20essential%20protein%3B%20S.%20cerevisiae%20ortholog%20is%20essential	0	0	0	430	428	422	632	792	741	339	307	375	794	812	814	0	0	422	341	378	401	731	731	639	595	559	539	749	719	760	0	0	0	329	310	319	402	758	511	278	288	317	428	362	438
C2_08120W_A	Ca22chr2A_C_albicans_SC5314	1646053	1647380	+	1328	C2_08120W_A	MAF1	%28orf19.2173%29%20Putative%20negative%20regulator%20of%20RNA%20polymerase%20III%3B%20decreased%20expression%20in%20hyphae%20vs%20yeast%20cells%3B%20caspofungin%20repressed%3B%20Spider%20biofilm%20repressed	0	0	0	379	357	441	1047	1221	1382	336	320	406	1102	1211	1096	0	0	441	2428	2649	2651	1196	1197	1071	3623	3033	3578	1348	1058	1044	0	0	0	1903	1913	1723	1279	1902	1359	2195	2417	2145	1432	1443	1440
C2_08130W_A	Ca22chr2A_C_albicans_SC5314	1647947	1648927	+	981	C2_08130W_A	ARA1	%28orf19.2172%29%20D-Arabinose%20dehydrogenase%3B%20dehydro-D-arabinono-1%2C4-lactone%20synthesis%3B%20active%20on%20D-arabinose%2C%20L-fucose%2C%20L-xylose%2C%20L-galactose%3B%20inhibited%20by%20metal%20ions%2C%20thiol%20group-specific%20reagents%3B%20induced%20on%20polystyrene%20adherence%3B%20Spider%20biofilm%20induced	0	0	0	382	334	342	2026	2532	2444	251	217	303	2206	2309	1991	0	0	342	1073	991	1095	1608	1609	1563	1248	1344	1166	1526	1470	1603	0	0	0	1226	1293	987	2030	3363	2159	1101	1138	1317	1638	1369	1437
C2_08140C_A	Ca22chr2A_C_albicans_SC5314	1649319	1652102	-	2784	C2_08140C_A	PHM7	%28orf19.2170%29%20Putative%20transporter%2C%20possibly%20involved%20in%20ion%20homeostasis%2C%20drug%20tolerance%2C%20filamentous%20growth%2C%20virulence%3B%20fungal-specific%3B%20Hog1-repressed%3B%20repressed%20by%2017-beta-estradiol%2C%20ethynyl%20estradiol%3B%20Hap43-induced%3B%20Spider%20biofilm%20induced	0	0	0	6982	6749	6532	4462	4928	4766	4938	4840	5148	3430	3517	3268	0	0	6532	6328	7429	6837	6128	6010	6538	6658	6739	6713	4882	5092	5249	0	0	0	5292	5873	5119	4931	8091	5422	5397	4961	5232	5508	4923	4751
C2_08150W_A	Ca22chr2A_C_albicans_SC5314	1654158	1654853	+	696	C2_08150W_A	NA	%28orf19.2169%29%20Ortholog%20of%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_805720%2C%20C.%20dubliniensis%20CD36%20%3A%20Cd36_22330%2C%20Lodderomyces%20elongisporus%20NRLL%20YB-4239%20%3A%20LELG_02628%20and%20Candida%20orthopsilosis%20Co%2090-125%20%3A%20CORT_0C03440	0	0	0	5	11	5	2	2	0	5	2	7	4	1	3	0	0	5	11	17	21	3	6	5	25	14	16	1	2	2	0	0	0	22	10	16	4	8	1	16	12	14	8	8	7
C2_08160C_A	Ca22chr2A_C_albicans_SC5314	1654999	1655677	-	679	C2_08160C_A	NA	%28orf19.2168.3%29%20Ortholog%28s%29%20have%20role%20in%20ER-dependent%20peroxisome%20organization%2C%20endoplasmic%20reticulum%20inheritance%2C%20endoplasmic%20reticulum%20tubular%20network%20membrane%20organization%20and%20nuclear%20pore%20complex%20assembly%2C%20more	0	0	0	1794	1582	1525	1910	2018	1875	1491	1348	1592	2047	2206	2024	0	0	1525	1622	1695	1653	2142	2114	2040	1625	1580	1553	2017	2178	2174	0	0	0	1707	1733	1862	2694	4816	2878	1431	1494	1652	2386	2009	2096
C2_08170W_A	Ca22chr2A_C_albicans_SC5314	1656941	1658284	+	1344	C2_08170W_A	NA	%28orf19.2168%29%20Putative%20sterol%20deacetylase%3B%20flow%20model%20biofilm%20induced%3B%20rat%20catheter%20biofilm%20repressed	0	0	0	39	44	43	142	179	158	24	22	33	125	182	140	0	0	43	307	304	312	380	387	277	348	265	365	277	288	259	0	0	0	336	399	312	494	947	550	485	434	486	786	688	669
C2_08180C_A	Ca22chr2A_C_albicans_SC5314	1658532	1659985	-	1454	C2_08180C_A	NA	%28orf19.2167%29%20Ortholog%28s%29%20have%20role%20in%20ribosomal%20large%20subunit%20biogenesis%2C%20ribosomal%20small%20subunit%20biogenesis%20and%20cytosolic%20large%20ribosomal%20subunit%2C%20nucleolus%20localization	0	0	0	2783	2488	2028	1495	1530	1394	2496	2244	2493	1540	1497	1276	0	0	2028	2171	1877	2235	1914	2030	2058	1400	1778	1388	1750	1590	1919	0	0	0	1535	1542	1260	1603	2698	1799	1633	1406	1673	1756	1656	1609
C2_08190W_A	Ca22chr2A_C_albicans_SC5314	1660612	1661778	+	1167	C2_08190W_A	VMA5	%28orf19.2166%29%20Putative%20vacuolar%20H%28%2B%29-ATPase%3B%20plasma%20membrane%20localized%3B%20rat%20catheter%20biofilm%20repressed	0	0	0	1092	1004	1070	811	823	753	835	975	1042	779	828	798	0	0	1070	877	904	922	969	826	854	820	860	808	778	752	874	0	0	0	906	898	972	1059	1698	1107	963	951	897	1013	907	888
C2_08200W_A	Ca22chr2A_C_albicans_SC5314	1662501	1663337	+	837	C2_08200W_A	NA	%28orf19.2165%29%20Predicted%20hydrolase%3B%20induced%20by%20nitric%20oxide	0	0	0	351	299	287	217	257	171	277	304	327	266	278	255	0	0	287	213	230	231	210	195	216	263	269	250	293	279	319	0	0	0	314	280	296	536	775	521	332	273	382	425	425	416
C2_08210C_A	Ca22chr2A_C_albicans_SC5314	1663652	1663780	-	129	C2_08210C_A	MFA1	%28orf19.2164.1%29%20a-factor%20mating%20pheromone%3B%20produced%20in%20opaque%20MTLa%20cells%3B%20required%20for%20mating%20competence%20of%20MTLa%20cells%2C%20but%20not%20MTLalpha%3B%20induced%20by%20alpha-factor	0	0	0	10	3	4	1	3	2	2	2	5	3	3	3	0	0	4	2	6	2	1	3	5	3	2	4	5	1	7	0	0	0	0	3	5	0	1	5	1	5	11	2	2	3
C2_08240W_A	Ca22chr2A_C_albicans_SC5314	1665658	1669284	+	3627	C2_08240W_A	ORF298	%28orf19.2219%29%20Predicted%20ORF%20in%20retrotransposon%20Tca3%3B%20similar%20to%20Gag-Pol%3B%20a-specific%20transcript%2C%20alpha-factor%20induced%3B%20rat%20catheter%20biofilm%20repressed%3B%20mRNA%20binds%20She3	0	0	0	1130	1038	1054	1718	1981	2000	1089	1007	1166	1631	1692	1701	0	0	1054	1288	1575	1447	1603	1646	1455	2214	2091	2251	2092	1800	1855	0	0	0	1501	1576	1386	1798	2905	2026	1913	1763	1805	2128	1974	1964
C2_08260W_A	Ca22chr2A_C_albicans_SC5314	1670481	1670792	+	312	C2_08260W_A	NA	%28orf19.2220%29%20Protein%20of%20unknown%20function%3B%20Hap43-repressed%20gene%3B%20by%20Rgt1%3B%20repressed%20in%20Spider%20biofilms%20by%20Bcr1%2C%20Tec1%2C%20Brg1%2C%20Rob1%20and%20induced%20by%20Efg1%2C%20Ndt80%3B%20Spider%20biofilm%20induced	0	0	0	14	9	8	98	106	71	9	7	14	26	37	35	0	0	8	384	316	388	105	94	70	544	394	469	151	90	73	0	0	0	181	186	211	109	149	95	220	266	229	205	184	178
C2_08270C_A	Ca22chr2A_C_albicans_SC5314	1671420	1672556	-	1137	C2_08270C_A	NA	%28orf19.2222%29%20Putative%20casein%20kinase%3B%20plasma%20membrane-localized	0	0	0	1096	972	979	999	1065	932	853	763	859	843	884	917	0	0	979	1007	1165	1135	1061	1090	1115	1011	1139	992	901	888	937	0	0	0	738	673	683	773	1290	926	908	779	871	979	914	924
C2_08280W_A	Ca22chr2A_C_albicans_SC5314	1673267	1674376	+	1110	C2_08280W_A	EAF3	%28orf19.2660%29%20Subunit%20of%20the%20NuA4%20histone%20acetyltransferase%20complex%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced	0	0	0	514	517	478	435	478	410	392	375	424	462	506	465	0	0	478	481	480	553	559	553	602	426	570	422	516	595	630	0	0	0	335	427	411	570	961	592	516	388	445	557	624	544
C2_08290C_A	Ca22chr2A_C_albicans_SC5314	1675845	1676450	-	606	C2_08290C_A	UCF1	%28orf19.1354%29%20Upregulated%20by%20cAMP%20in%20filamentous%20growth%3B%20induced%20in%20high%20iron%2C%20decreased%20upon%20yeast-hypha%20switch%3B%20downregulation%20correlates%20with%20clinical%20fluconazole%20resistance%3B%20Ras1-regulated%3B%20Hap43-repressed%3B%20flow%20model%20biofilm%20induced	0	0	0	3976	3552	4138	20526	22475	24349	919	816	1191	18017	22932	24250	1	0	4138	17279	18005	19778	15799	14109	9958	36293	26380	32057	21869	13555	15013	0	0	0	21282	19822	23509	9075	10251	7645	17405	24001	19229	12101	9892	10136
C2_08300C_A	Ca22chr2A_C_albicans_SC5314	1676486	1677021	-	536	C2_08300C_A	NA	%28orf19.1353%29%20Protein%20of%20unknown%20function%3B%20repressed%20by%20yeast-hypha%20switch%3B%20Ras1-regulated%3B%20oral%20infection%20induced%3B%20mutants%20defective%20in%20damage%20to%20oral%20epithelium%3B%20flow%20model%20biofilm%20induced%3B%20Spider%20biofilm%20induced	0	0	0	1	0	3	4	4	1	0	0	0	5	9	5	0	0	3	1	9	6	6	7	2	21	3	7	5	4	14	0	0	0	5	6	5	4	4	4	7	6	11	2	4	1
C2_08310W_A	Ca22chr2A_C_albicans_SC5314	1678351	1678905	+	555	C2_08310W_A	TIM22	%28orf19.1352%29%20Mitochondrial%20inner%20membrane%20protein%3B%20predicted%20role%20in%20protein%20import%3B%20Hap43-repressed%20gene%3B%20flow%20model%20biofilm%20induced%3B%20Spider%20biofilm%20repressed	1	0	0	301	255	283	271	330	307	374	321	348	281	335	361	0	0	283	424	569	534	314	299	279	808	626	715	385	274	280	0	0	0	540	498	532	459	755	427	491	521	464	408	373	424
C2_08320C_A	Ca22chr2A_C_albicans_SC5314	1679166	1679777	-	612	C2_08320C_A	NA	%28orf19.1351%29%20Ortholog%20of%20C.%20parapsilosis%20CDC317%20%3A%20CPAR2_407000%2C%20C.%20dubliniensis%20CD36%20%3A%20Cd36_22440%2C%20Candida%20tenuis%20NRRL%20Y-1498%20%3A%20cten_CGOB_00049%20and%20Lodderomyces%20elongisporus%20NRLL%20YB-4239%20%3A%20LELG_02401	0	0	0	185	188	206	134	179	138	214	188	223	223	189	189	0	0	206	91	111	125	174	168	163	149	145	135	196	192	178	0	0	0	97	76	79	152	252	163	101	83	86	89	94	90
C2_08330W_A	Ca22chr2A_C_albicans_SC5314	1681559	1682557	+	999	C2_08330W_A	NA	%28orf19.1350%29%20Protein%20with%20a%20thioredoxin%20domain%3B%20predicted%20role%20in%20cell%20redox%20homeostasis%3B%20rat%20catheter%20and%20Spider%20biofilm%20induced	0	0	0	290	243	250	1082	1382	1238	164	159	199	718	756	686	0	0	250	1618	1614	1627	1775	1685	1624	1176	1043	1173	890	901	921	0	0	0	1586	1807	1265	801	1292	801	1761	1809	1745	1056	935	861
